epoch,train_loss,val_loss,train_accuracy,train_precision,train_recall,train_f1,train_iou,train_dice,val_accuracy,val_precision,val_recall,val_f1,val_iou,val_dice
1,0.44442945040762427,0.37464652918279173,0.7974516296383669,0.0077585256165984915,0.054146427396267835,0.013346626005912831,0.0075737507480146075,0.013346628312748951,0.8502787017809291,0.0,0.0,0.0,0.0,0.0
2,0.3696129690855742,0.3838942851126194,0.845024585723555,0.0,0.0,0.0,0.0,0.0,0.8502787017809291,0.0,0.0,0.0,0.0,0.0
3,0.3590842083841562,0.34280175603926183,0.8450245857235548,0.0,0.0,0.0,0.0,0.0,0.8502787017809291,0.0,0.0,0.0,0.0,0.0
4,0.34511974424123765,0.3539992152154446,0.8450245857235547,0.0,0.0,0.0,0.0,0.0,0.8502787017809291,0.0,0.0,0.0,0.0,0.0
5,0.34662500098347665,0.3302451141178608,0.8471094322201358,0.18763046330889363,0.03994168411164499,0.05493182349874195,0.034381379815888555,0.05493182970016532,0.857450332640293,0.5434875672969219,0.40777018775956525,0.3723090546315383,0.2559038134617754,0.37230908827850906
6,0.3358620098978281,0.3253656409308314,0.8525856208798018,0.5864913316432436,0.2161213273411496,0.2690212174351393,0.16879949464229826,0.26902124794082505,0.8602281951891171,0.5852266954918129,0.22607871995283244,0.2522834357293567,0.16541727442796395,0.25228346113277395
7,0.3338550352305174,0.3591401223093271,0.8539155769344887,0.6055304267632934,0.26365593320249237,0.32275378067596294,0.20431744942549698,0.3227538168531075,0.8452931976305459,0.48934974051545915,0.4808061979670813,0.4000702611548973,0.275935577665057,0.4000702998168583
8,0.3315434032678604,0.32207523595541715,0.8545420074459631,0.6034666643036384,0.2601852331391643,0.3225400897168521,0.2050897574590091,0.3225401258475184,0.8612854766832563,0.5559024629297269,0.43142869023557184,0.3946018309316517,0.2749393047178109,0.3946018659361574
9,0.3269510654360056,0.33030546836555,0.8582543754574364,0.6272729562479366,0.28079495006495625,0.3452425187561645,0.22246252444816142,0.34524255581901137,0.8680743408189882,0.5939039838977835,0.3271987343293516,0.34312317421962896,0.2360683607812878,0.34312320532861645
10,0.32601601399481295,0.31445086635649205,0.858841361999184,0.6344285475699919,0.2748038419908239,0.333769246221991,0.21530922288187718,0.33376928140378775,0.8687703704820726,0.5877022270377291,0.3426075110562221,0.35732632542968473,0.24815007313541299,0.35732635763745646
11,0.31788259677588937,0.32202966153621676,0.8648044013973756,0.6420648592723843,0.3474362533271521,0.4170774018524782,0.2752554008204574,0.4170774434196094,0.8683577728258236,0.5521681784423759,0.2381793264473755,0.2771237923322802,0.19002082521549457,0.27712381761813104
12,0.3140325009822845,0.3054257766902447,0.8681728553768661,0.667556026811156,0.35569052885596036,0.4253009884575799,0.2821584358586091,0.42530102941599196,0.8727282714830435,0.5828272589058766,0.3963316250021405,0.4025303110346819,0.28893002055468703,0.40253034561656803
13,0.301698620095849,0.3012419197708368,0.8776384353634354,0.6969306819434736,0.4183636142455099,0.4900061768732703,0.33751650463964544,0.4900062201494327,0.875594177244757,0.6030017071030777,0.5293196448978361,0.4869547768951672,0.3616420496732197,0.4869548163477504
14,0.2915378929674625,0.28434326477348804,0.8826666069027397,0.727554291076255,0.4307210571098273,0.5073606892570165,0.35459580582641786,0.5073607323529922,0.889890289305283,0.6409468583820374,0.4784617946216394,0.47966021877668974,0.36639408366952614,0.47966025458417216
15,0.2752791711688042,0.27663622710853814,0.8908283615108907,0.7547561823856759,0.5003929714482915,0.5620838780841285,0.40762451963640073,0.5620839222987754,0.8876667785630982,0.5921647562615933,0.6798403611078438,0.571799732062769,0.4453878533768835,0.5717997731715035
