,Dice,IoU,precision,recall,F1-score
0,0.9985052316890882,0.9970149253731343,1.0,0.9970149253731343,0.9985052316890882
1,0.9847009735744089,0.9698630136986301,1.0,0.9698630136986301,0.9847009735744089
2,0.9719101123595506,0.9453551912568307,1.0,0.9453551912568307,0.9719101123595506
3,0.9849931787175988,0.9704301075268817,0.9972375690607734,0.9730458221024259,0.9849931787175988
4,0.9888579387186629,0.977961432506887,1.0,0.977961432506887,0.9888579387186629
Average,0.9857934870118619,0.9721249340724727,0.9994475138121548,0.9726480769875815,0.9857934870118619
