fold,train_loss,val_loss,train_accuracy,val_accuracy,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.252106894910699,0.293036747476677,0.893146100858022,0.87760263396439,0.532300892073035,0.487423390965342,0.403330776685538,0.356415228240127,0.611367230311258,0.611557695249843,0.508679220399864,0.453732754558139,0.532300892073035,0.487423390965342
2,0.254988945586289,0.297588361668878,0.890410274877441,0.872198821276821,0.483791744392889,0.420909693751535,0.370126890357319,0.306308129170402,0.544206266295406,0.512828493153561,0.466411085787915,0.412547543846206,0.483791744392889,0.420909693751535
3,0.250936074550687,0.297167667668651,0.89357324513488,0.870210706537088,0.504572292142795,0.431009842016866,0.387447076623301,0.310348385858784,0.567508410183596,0.524605049559758,0.484452555249966,0.407978228664975,0.504572292142795,0.431009842016866
4,0.268900064118206,0.265524593362132,0.884558977693787,0.886352922593887,0.475968671693712,0.404641025630883,0.360292530501692,0.287972029699257,0.544490056988004,0.511961786352369,0.457431576621823,0.382132118123001,0.475968671693712,0.404641025630883
5,0.263883865397424,0.321647379159927,0.887334857304553,0.869337595621413,0.492167123797085,0.403832491614735,0.369167958523863,0.284644990734503,0.567916654455203,0.548808247723802,0.467993775341658,0.365726062502437,0.492167123797085,0.403832491614735
