Fold,Train_Loss,Train_Dice,Train_IoU,Train_Precision,Train_Recall,Train_F1,Train_Accuracy,Val_Loss,Val_Dice,Val_IoU,Val_Precision,Val_Recall,Val_F1,Val_Accuracy
1.0,0.21566981568932533,0.9350961538461539,0.8781038374717833,0.8994219653179191,0.9737171464330413,0.9350961538461539,0.9325,0.41564913380604523,0.8229665071770336,0.6991869918699187,0.7926267281105991,0.8557213930348259,0.8229665071770336,0.815
2.0,0.3519444090127945,0.8579356270810211,0.7512147716229349,0.7745490981963928,0.9614427860696517,0.8579356270810211,0.84,0.5399855616000983,0.780590717299578,0.6401384083044983,0.6654676258992805,0.9438775510204082,0.780590717299578,0.74
3.0,0.34235787197947504,0.8434547908232118,0.7292882147024504,0.9328358208955224,0.7697044334975369,0.8434547908232118,0.855,0.5051346169068263,0.7000000000000001,0.5384615384615384,0.7828947368421053,0.6329787234042553,0.7000000000000001,0.745
4.0,0.12747093122452496,0.9522628642281463,0.9088757396449704,0.9481481481481482,0.9564134495641345,0.9522628642281463,0.951875,0.34245842007490307,0.8661800486618005,0.7639484978540773,0.8317757009345794,0.9035532994923858,0.8661800486618005,0.8625
5.0,0.13407678544521331,0.9523212045169385,0.9089820359281438,0.9347290640394089,0.9705882352941176,0.9523212045169385,0.9525,0.34758680428449923,0.8913043478260869,0.803921568627451,0.8471074380165289,0.9403669724770642,0.8913043478260869,0.875
AVERAGE,0.23430396267026668,0.9082141280990943,0.8352929198740565,0.8979368193194783,0.9263732101716965,0.9082141280990943,0.9063749999999999,0.4301629073344744,0.8122083241928998,0.6891314010234968,0.7839744459606187,0.8552995878857879,0.8122083241928998,0.8074999999999999
