fold,train_loss,val_loss,train_accuracy,val_accuracy,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.151581638785242,0.175423277852015,0.939452798631098,0.929179229735973,0.449404314379114,0.23315398375747,0.347079543315482,0.169645138776796,0.522760234819763,0.321561154243917,0.442748969650807,0.198591146562188,0.449404314379114,0.23315398375747
2,0.154730668491973,0.173396361839611,0.937434505245433,0.93321597865658,0.469347930509056,0.232641091937619,0.358394663202867,0.163462245634678,0.54866949056644,0.319503061817998,0.461715283235249,0.208932682387999,0.469347930509056,0.232641091937619
3,0.155182020597133,0.178477634791637,0.937547051278812,0.926317864133247,0.428411403094625,0.252485516741326,0.32681272790322,0.184822612457357,0.503787666822844,0.289072134738021,0.419192790740531,0.243352059208592,0.428411403094625,0.252485516741326
4,0.148752977205578,0.199561769870122,0.939616305653284,0.927865275974488,0.460425242888072,0.219275391422846,0.356622291967083,0.156562545241958,0.529860275925566,0.302943475641042,0.455286253750318,0.202913366844624,0.460425242888072,0.219275391422846
5,0.1673331143331,0.166582158456542,0.932320260547101,0.934692623804128,0.430741713355539,0.181028473506341,0.322949736634635,0.123807323985066,0.52302202661551,0.265054607380219,0.418276884727437,0.154954254421206,0.430741713355539,0.181028473506341
